observed_shifted,fitted_shifted,observed_symboling,fitted_symboling,residual,standardized_residual
5.0,3.0496762917681646,3.0,1.0496762917681646,1.9503237082318354,1.1168113740224763
5.0,3.0496762917681646,3.0,1.0496762917681646,1.9503237082318354,1.1168113740224763
3.0,2.8299408390923158,1.0,0.8299408390923158,0.17005916090768425,0.10109073486860894
4.0,2.8727757884177327,2.0,0.8727757884177327,1.1272242115822673,0.6650578781918567
4.0,2.2979632522193993,2.0,0.29796325221939934,1.7020367477806007,1.122787044427141
4.0,2.7429975515904106,2.0,0.7429975515904106,1.2570024484095894,0.7589679096547987
3.0,2.5028054030644857,1.0,0.5028054030644857,0.49719459693551427,0.3142771879331872
3.0,2.429050417042642,1.0,0.4290504170426419,0.5709495829573581,0.3663359126680384
3.0,2.3434077576790617,1.0,0.34340775767906173,0.6565922423209383,0.4289155737313746
2.0,2.1592309973900305,0.0,0.15923099739003055,-0.15923099739003055,-0.10836226205753252
4.0,3.1792334877404915,2.0,1.1792334877404915,0.8207665122595085,0.46031848638007633
2.0,3.1792334877404915,0.0,1.1792334877404915,-1.1792334877404915,-0.6613610156572428
2.0,2.918248017808822,0.0,0.9182480178088221,-0.9182480178088221,-0.5375252872169981
2.0,2.8749276634312757,0.0,0.8749276634312757,-0.8749276634312757,-0.5160106763572837
3.0,2.656923777834744,1.0,0.6569237778347441,0.3430762221652559,0.21047526809887251
2.0,2.533449803131461,0.0,0.533449803131461,-0.533449803131461,-0.33514859825207116
2.0,2.4321923090517736,0.0,0.43219230905177364,-0.43219230905177364,-0.27712651404436883
2.0,2.350909531291701,0.0,0.350909531291701,-0.350909531291701,-0.22886385353401517
4.0,3.6188051178549068,2.0,1.6188051178549068,0.38119488214509323,0.20038465598592164
3.0,3.258218145988832,1.0,1.258218145988832,-0.25821814598883197,-0.1430529043415116
2.0,3.227355449676881,0.0,1.2273554496768808,-1.2273554496768808,-0.6831985806523336
3.0,3.2564466394235563,1.0,1.2564466394235563,-0.2564466394235563,-0.14211012753343952
3.0,3.2564466394235563,1.0,1.2564466394235563,-0.2564466394235563,-0.14211012753343952
3.0,3.0407714994507336,1.0,1.0407714994507336,-0.04077149945073355,-0.023381091998451085
3.0,3.1768538407004954,1.0,1.1768538407004954,-0.17685384070049537,-0.09922380530167153
3.0,3.1579054552563983,1.0,1.1579054552563983,-0.15790545525639832,-0.0888582124529395
3.0,3.1579054552563983,1.0,1.1579054552563983,-0.15790545525639832,-0.0888582124529395
3.0,2.989122688611318,1.0,0.9891226886113178,0.010877311388682198,0.006291434664654733
1.0,2.7221918742026103,-1.0,0.7221918742026103,-1.7221918742026103,-1.0438117207140658
5.0,2.525365541857641,3.0,0.5253655418576408,2.474634458142359,1.557216263525231
4.0,3.4040317836425356,2.0,1.4040317836425356,0.5959682163574644,0.32301768158630606
4.0,3.3073140472593106,2.0,1.3073140472593106,0.6926859527406894,0.3808892036950461
3.0,3.291165397568393,1.0,1.2911653975683932,-0.2911653975683932,-0.16049625662841085
3.0,3.2002641403402268,1.0,1.2002641403402268,-0.20026414034022677,-0.11194643766408242
3.0,3.1863706268910037,1.0,1.1863706268910037,-0.1863706268910037,-0.1044069288449753
2.0,3.1399237984791486,0.0,1.1399237984791486,-1.1399237984791486,-0.6433040215931358
2.0,3.127992947044689,0.0,1.1279929470446892,-1.1279929470446892,-0.637783826166529
2.0,2.9527686630294943,0.0,0.9527686630294943,-0.9527686630294943,-0.5544632330658326
2.0,2.9105183226915647,0.0,0.9105183226915647,-0.9105183226915647,-0.5337077642447113
2.0,2.898670818222673,0.0,0.8986708182226728,-0.8986708182226728,-0.5278386534119263
2.0,2.8455641031475447,0.0,0.8455641031475447,-0.8455641031475447,-0.5012591931796596
